 GROUP;NAME;H(AVERAGE);S(AVERAGE);V(AVERAGE);H(MEDIAN);S(MEDIAN);V(MEDIAN);H(DEVIATION);S(DEVIATION);V(DEVIATION);H(VARIANCE);S(VARIANCE);V(VARIANCE); 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (100).jpg;317.6847;    52;70.0835;346.0403;54.9617;70.2703;94.3090;15.5432;9.7039;8894.1956;241.5917;94.1666 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (101).jpg;315.1640;    44;75.3778;346.1227;47.5685;75.3731;98.7872;14.5216;7.9709;9758.9159;210.8757;63.5355 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (102).jpg;307.3027;    46;67.8962;345.9838;48.9054;68.0000;108.6584;16.7004;12.1939;11806.6471;278.9042;148.6913 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (103).jpg;305.0576;    53;71.8236;346.0936;57.4020;71.0280;112.0416;18.3256;11.1295;12553.3271;335.8293;123.8652 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (104).jpg;317.8645;    41;73.3002;344.9399;44.3476;73.7931;90.9539;13.1748;8.2173;8272.6111;173.5749;67.5238 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (105).jpg;309.4662;    44;78.0223;345.7831;47.4731;77.4648;105.4608;14.5800;8.4179;11121.9735;212.5770;70.8615 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (106).jpg;308.5946;    38;80.7950;345.5689;40.7419;80.9249;105.0540;12.8854;6.9006;11036.3416;166.0333;47.6189 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (107).jpg;309.3791;    48;81.2275;346.1227;51.0923;81.1429;106.3451;15.4064;6.8232;11309.2872;237.3574;46.5559 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (108).jpg;302.2005;    39;79.8472;346.0936;41.3099;80.0000;114.8814;13.7329;7.0848;13197.7344;188.5924;50.1942 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (109).jpg;292.9353;    40;71.4382;345.6541;43.2331;72.5664;123.9383;14.8918;9.7086;15360.6955;221.7660;94.2572 
